x,y,z,Bx,By,Bz,Bp,faceid
-31.815,-2.827999999999971,32.9,-64.76682551,0.750761296,-71.21360766,64.77117668,1
-31.815,-2.1209999999999702,32.9,-60.23125396,4.797393469,-74.93174761,60.42200706,1
-31.815,-1.4139999999999695,32.9,-55.14777863,8.673891287,-77.9157445,55.82574565,1
-31.815,-0.7069999999999688,32.9,-49.64188373,12.20152034,-80.13034428,51.11940648,1
-31.815,3.197442310920451e-14,32.9,-43.93017445,15.22313813,-81.6275973,46.49305498,1
-31.815,0.7070000000000327,32.9,-38.29125041,17.66824178,-82.5483539,42.17092156,1
-31.815,1.4140000000000335,32.9,-32.99118621,19.59942619,-83.06635794,38.37389574,1
-31.815,2.121000000000034,32.9,-28.20661319,21.18176117,-83.30421754,35.27435377,1
-31.815,2.828000000000035,32.9,-23.99933436,22.58741769,-83.29194002,32.95693384,1
-31.108,-7.069999999999975,32.9,-76.91063962,-19.88974741,-47.31440268,79.44084931,1
-31.108,-6.362999999999975,32.9,-75.02407156,-16.24682005,-53.52202188,76.76308016,1
-31.108,-5.655999999999974,32.9,-72.54547164,-12.32201878,-59.40779529,73.58449294,1
-31.108,-4.948999999999973,32.9,-69.43095297,-8.129798511,-64.881322,69.90529918,1
-31.108,-4.2419999999999725,32.9,-65.63844068,-3.695684829,-69.82848767,65.74239866,1
-31.108,-3.5349999999999717,32.9,-61.13510445,0.930896921,-74.10693569,61.14219137,1
-31.108,-2.827999999999971,32.9,-55.91249302,5.656864539,-77.54967578,56.19792694,1
-31.108,-2.1209999999999702,32.9,-50.00878952,10.32460225,-79.98477185,51.06345504,1
-31.108,-1.4139999999999695,32.9,-43.53922209,14.70253642,-81.28071125,45.95463456,1
-31.108,-0.7069999999999688,32.9,-36.72703943,18.50835026,-81.41879679,41.12705259,1
-31.108,3.197442310920451e-14,32.9,-29.90815038,21.49000022,-80.56188654,36.82821702,1
-31.108,0.7070000000000327,32.9,-23.47576098,23.55451595,-79.04783194,33.25547436,1
-31.108,1.4140000000000335,32.9,-17.76668426,24.84951637,-77.25782009,30.54756182,1
-31.108,2.121000000000034,32.9,-12.95915781,25.68918016,-75.43933378,28.77279528,1
-31.108,2.828000000000035,32.9,-9.061696976,26.3708812,-73.64076634,27.88436349,1
-31.108,3.5350000000000357,32.9,-5.982984734,27.04390627,-71.78814528,27.6978153,1
-31.108,4.242000000000036,32.9,-3.608300928,27.69481886,-69.79917507,27.92888876,1
-31.108,4.949000000000037,32.9,-1.838529766,28.19303417,-67.65949041,28.25291786,1
-31.108,5.656000000000038,32.9,-0.596404028,28.34048509,-65.46497591,28.34675983,1
-31.108,6.363000000000039,32.9,0.180842408,27.92118521,-63.45510568,27.92177085,1
-31.108,7.070000000000039,32.9,0.548398357,26.77676132,-62.03463097,26.78237643,1
-30.401,-9.897999999999978,32.9,-78.37517462,-31.56372371,-28.72722911,84.49222835,1
-30.401,-9.190999999999978,32.9,-77.9683418,-28.66661378,-35.81301086,83.07127704,1
-30.401,-8.483999999999977,32.9,-77.01440621,-25.40841176,-42.73927124,81.09751015,1
-30.401,-7.776999999999976,32.9,-75.47590854,-21.80425634,-49.45294287,78.56232153,1
-30.401,-7.069999999999975,32.9,-73.31573456,-17.86387688,-55.89122633,75.46068533,1
-30.401,-6.362999999999975,32.9,-70.49483808,-13.59400596,-61.97220024,71.79358741,1
-30.401,-5.655999999999974,32.9,-66.97391707,-9.00198294,-67.58680667,67.57618859,1
-30.401,-4.948999999999973,32.9,-62.71650565,-4.102297797,-72.59141817,62.85052847,1
-30.401,-4.2419999999999725,32.9,-57.6961802,1.071057114,-76.8021185,57.70612076,1
-30.401,-3.5349999999999717,32.9,-51.91094916,6.444608421,-79.99470908,52.30946014,1
-30.401,-2.827999999999971,32.9,-45.40657965,11.87811169,-81.91878626,46.93449705,1
-30.401,-2.1209999999999702,32.9,-38.30766011,17.13621942,-82.33918702,41.96578176,1
-30.401,-1.4139999999999695,32.9,-30.84924275,21.87755403,-81.1185636,37.81934886,1
-30.401,-0.7069999999999688,32.9,-23.39095024,25.69715746,-78.33669989,34.74881947,1
-30.401,3.197442310920451e-14,32.9,-16.38414649,28.26103665,-74.38768555,32.66690142,1
-30.401,0.7070000000000327,32.9,-10.27143439,29.50554266,-69.93132441,31.24226963,1
-30.401,1.4140000000000335,32.9,-5.349960297,29.73840279,-65.63164154,30.21580175,1
-30.401,2.121000000000034,32.9,-1.692243825,29.48206948,-61.85816181,29.53059617,1
-30.401,2.828000000000035,32.9,0.813937538,29.17809518,-58.62497992,29.18944557,1
-30.401,3.5350000000000357,32.9,2.360762841,29.02285652,-55.76313355,29.11871222,1
-30.401,4.242000000000036,32.9,3.141560486,28.99252239,-53.10786876,29.16223169,1
-30.401,4.949000000000037,32.9,3.326254951,28.9344721,-50.59047046,29.12503472,1
-30.401,5.656000000000038,32.9,3.070687054,28.63973029,-48.26544593,28.80387595,1
-30.401,6.363000000000039,32.9,2.535657322,27.89507086,-46.32258859,28.0100792,1
-30.401,7.070000000000039,32.9,1.898899004,26.54732231,-45.09291554,26.61514868,1
-30.401,7.77700000000004,32.9,1.344082154,24.59821807,-45.01061775,24.634912,1
-30.401,8.48400000000004,32.9,1.015152463,22.28623416,-46.4770358,22.30934261,1
-30.401,9.191000000000042,32.9,0.952015512,20.04865098,-49.65414129,20.07124161,1
-30.401,9.898000000000042,32.9,1.062144056,18.32965784,-54.35468128,18.36040594,1
-29.694,-11.31199999999998,32.9,-77.50631034,-36.8131521,-22.34881716,85.80464037,1
-29.694,-10.604999999999979,32.9,-77.56675049,-34.17124188,-29.83337487,84.76010001,1
-29.694,-9.897999999999978,32.9,-77.06424135,-31.10708372,-37.20691093,83.10564332,1
-29.694,-9.190999999999978,32.9,-75.95776489,-27.63070629,-44.40948838,80.82721062,1
-29.694,-8.483999999999977,32.9,-74.20320398,-23.75544494,-51.37799635,77.91300691,1
-29.694,-7.776999999999976,32.9,-71.75512763,-19.49331048,-58.03734827,74.35581682,1
-29.694,-7.069999999999975,32.9,-68.57066051,-14.85486188,-64.29115763,70.16126,1
-29.694,-6.362999999999975,32.9,-64.6143732,-9.850697421,-70.01264269,65.36094755,1
-29.694,-5.655999999999974,32.9,-59.8635641,-4.495503706,-75.0354015,60.03212357,1
-29.694,-4.948999999999973,32.9,-54.31559822,1.182051164,-79.14509973,54.32845898,1
-29.694,-4.2419999999999725,32.9,-48.00098992,7.120160674,-82.07631146,48.52619624,1
-29.694,-3.5349999999999717,32.9,-41.00568193,13.19453496,-83.52316967,43.0762313,1
-29.694,-2.827999999999971,32.9,-33.50157611,19.18319374,-83.17722222,38.60505827,1
-29.694,-2.1209999999999702,32.9,-25.77556448,24.73892556,-80.80807568,35.72665898,1
-29.694,-1.4139999999999695,32.9,-18.23619362,29.39792998,-76.39343529,34.59475459,1
-29.694,-0.7069999999999688,32.9,-11.37086673,32.66851712,-70.26874206,34.59087482,1
-29.694,3.197442310920451e-14,32.9,-5.640524715,34.22881897,-63.19451318,34.69045354,1
-29.694,0.7070000000000327,32.9,-1.344724975,34.16193561,-56.19073218,34.18839174,1
-29.694,1.4140000000000335,32.9,1.460705451,33.0090747,-50.12459019,33.0413782,1
-29.694,2.121000000000034,32.9,2.931885333,31.49676399,-45.35438464,31.63292736,1
-29.694,2.828000000000035,32.9,3.326987113,30.16280914,-41.75064945,30.34573938,1
