x,y,z,Bx,By,Bz,Bp,faceid
-31.815, -2.827999999999971, 32.9,-68.19086319,28.63754983,8.28627463,73.96014524,1
-31.815, -2.1209999999999702, 32.9,-65.19554269,31.4197593,3.938661901,72.37167996,1
-31.815, -1.4139999999999695, 32.9,-61.2095597,35.13333901,1.057109467,70.57592868,1
-31.815, -0.7069999999999688, 32.9,-58.44879784,38.41190223,-0.638106676,69.94094796,1
-31.815, 3.197442310920451e-14, 32.9,-54.72822567,40.43280904,-1.423071066,68.04403524,1
-31.815, 0.7070000000000327, 32.9,-51.09989629,43.26192935,-1.488970059,66.95367004,1
-31.815, 1.4140000000000335, 32.9,-48.64203011,44.89220092,-0.989797188,66.1918182,1
-31.815, 2.121000000000034, 32.9,-45.25961122,46.22184248,-0.053382,64.6907345,1
-31.815, 2.828000000000035, 32.9,-43.32229738,48.64142808,1.319851485,65.13685574,1
-31.108, -7.069999999999975, 32.9,-77.24617436,10.02130468,33.18331111,77.89350423,1
-31.108, -6.362999999999975, 32.9,-75.38429893,13.52942212,23.31834302,76.58875758,1
-31.108, -5.655999999999974, 32.9,-72.50984591,16.53834988,14.66237594,74.3720026,1
-31.108, -4.948999999999973, 32.9,-69.52175588,20.38936465,7.127183258,72.4499878,1
-31.108, -4.2419999999999725, 32.9,-66.5981209,24.02302722,0.654545127,70.79841484,1
-31.108, -3.5349999999999717, 32.9,-63.03603518,27.77157612,-4.736792226,68.88252443,1
-31.108, -2.827999999999971, 32.9,-59.29030893,31.75987644,-8.951168362,67.26091349,1
-31.108, -2.1209999999999702, 32.9,-55.2217493,35.49342464,-11.94868898,65.64468592,1
-31.108, -1.4139999999999695, 32.9,-50.73332274,39.10517451,-13.71981875,64.05532538,1
-31.108, -0.7069999999999688, 32.9,-46.16958762,42.29663272,-14.32375561,62.61498191,1
-31.108, 3.197442310920451e-14, 32.9,-41.53105595,44.80755431,-13.97674177,61.09456221,1
-31.108, 0.7070000000000327, 32.9,-37.16959476,46.80689602,-12.9544845,59.77009528,1
-31.108, 1.4140000000000335, 32.9,-33.40978005,48.1821693,-11.5437785,58.6321997,1
-31.108, 2.121000000000034, 32.9,-30.17944833,49.254667,-9.961415476,57.7652259,1
-31.108, 2.828000000000035, 32.9,-27.73004904,50.33852419,-8.224223442,57.47105913,1
-31.108, 3.5350000000000357, 32.9,-25.87267936,51.22744524,-6.272304454,57.3903013,1
-31.108, 4.242000000000036, 32.9,-24.3895667,52.27563664,-4.058902805,57.68529405,1
-31.108, 4.949000000000037, 32.9,-23.69011667,53.19931694,-1.52780757,58.235633,1
-31.108, 5.656000000000038, 32.9,-23.07855245,53.51685392,1.283758779,58.2809852,1
-31.108, 6.363000000000039, 32.9,-22.80393747,54.17901086,4.278303128,58.78252106,1
-31.108, 7.070000000000039, 32.9,-23.9330757,53.85081093,7.418157996,58.92963559,1
-30.401, -9.897999999999978, 32.9,-78.38528517,0.077519683,49.60604147,78.3853235,1
-30.401, -9.190999999999978, 32.9,-75.91749408,2.614294782,38.50213597,75.96249367,1
-30.401, -8.483999999999977, 32.9,-74.65359344,5.95058349,28.53160895,74.89037626,1
-30.401, -7.776999999999976, 32.9,-73.17963411,8.811450708,19.49525172,73.70821197,1
-30.401, -7.069999999999975, 32.9,-71.20001093,12.14356463,11.30430589,72.2281643,1
-30.401, -6.362999999999975, 32.9,-69.1118454,15.71434315,3.892645498,70.87586158,1
-30.401, -5.655999999999974, 32.9,-66.58355217,19.39557668,-2.764460224,69.35097558,1
-30.401, -4.948999999999973, 32.9,-63.58036588,23.35545364,-8.596121231,67.73433501,1
-30.401, -4.2419999999999725, 32.9,-60.12341365,27.46915953,-13.52599943,66.10128285,1
-30.401, -3.5349999999999717, 32.9,-56.12053749,31.72361985,-17.42618804,64.46629185,1
-30.401, -2.827999999999971, 32.9,-51.62911149,36.04669663,-20.10923271,62.96768609,1
-30.401, -2.1209999999999702, 32.9,-46.72313144,40.22078861,-21.45029858,61.65032723,1
-30.401, -1.4139999999999695, 32.9,-41.54130206,44.05251119,-21.37600023,60.55000841,1
-30.401, -0.7069999999999688, 32.9,-36.35446676,47.23082775,-19.95435935,59.60199949,1
-30.401, 3.197442310920451e-14, 32.9,-31.46602103,49.5036654,-17.52537095,58.65767953,1
-30.401, 0.7070000000000327, 32.9,-27.20452464,50.87002313,-14.57553018,57.68748057,1
-30.401, 1.4140000000000335, 32.9,-23.79694009,51.50860201,-11.58760127,56.74002502,1
-30.401, 2.121000000000034, 32.9,-21.2835096,51.80873696,-8.86424752,56.01011522,1
-30.401, 2.828000000000035, 32.9,-19.61013531,52.10647904,-6.397430166,55.67443367,1
-30.401, 3.5350000000000357, 32.9,-18.62330105,52.48521113,-4.06015932,55.69133442,1
-30.401, 4.242000000000036, 32.9,-18.18071355,52.96936252,-1.749343418,56.0026045,1
-30.401, 4.949000000000037, 32.9,-18.19768086,53.41797137,0.624087358,56.43257263,1
-30.401, 5.656000000000038, 32.9,-18.49384338,53.64714764,3.037033688,56.74538477,1
-30.401, 6.363000000000039, 32.9,-19.03732647,53.62507083,5.384192084,56.90402464,1
-30.401, 7.070000000000039, 32.9,-19.77568027,53.10891249,7.552503942,56.67128123,1
-30.401, 7.77700000000004, 32.9,-20.42531654,52.29676588,9.402387106,56.14396919,1
-30.401, 8.48400000000004, 32.9,-21.54427648,51.67341287,10.96079002,55.98479657,1
-30.401, 9.191000000000042, 32.9,-23.13662367,50.68131136,12.60526133,55.71264377,1
-30.401, 9.898000000000042, 32.9,-24.23285746,51.01085936,15.08795289,56.47423442,1
-29.694, -11.31199999999998, 32.9,-73.66857495,-4.022727751,47.57099344,73.77832523,1
-29.694, -10.604999999999979, 32.9,-73.09015398,-1.220269742,37.2311818,73.10033972,1
-29.694, -9.897999999999978, 32.9,-72.80351131,1.238042425,27.73792608,72.81403716,1
-29.694, -9.190999999999978, 32.9,-71.92060994,3.964669301,18.95045449,72.0298045,1
-29.694, -8.483999999999977, 32.9,-70.76314967,7.133688615,10.79569999,71.12181708,1
-29.694, -7.776999999999976, 32.9,-69.23898653,10.53429519,3.221028094,70.0357668,1
-29.694, -7.069999999999975, 32.9,-67.2047551,14.23615824,-3.737044294,68.69605018,1
-29.694, -6.362999999999975, 32.9,-64.66487431,18.21199813,-10.03540925,67.1805243,1
-29.694, -5.655999999999974, 32.9,-61.56732137,22.44237251,-15.60072802,65.53010868,1
