x,y,z,Bx,By,Bz,Bp,faceid
-31.815, -2.827999999999971, 32.9,37.17861026,38.12600252,-73.56072128,53.25261617,1
-31.815, -2.1209999999999702, 32.9,38.99714752,37.04367129,-73.85839298,53.7867186,1
-31.815, -1.4139999999999695, 32.9,42.76894938,37.32677458,-75.87713735,56.76681365,1
-31.815, -0.7069999999999688, 32.9,46.02068093,37.71566785,-79.01601836,59.50104767,1
-31.815, 3.197442310920451e-14, 32.9,50.71345926,37.35661072,-82.80079322,62.9870726,1
-31.815, 0.7070000000000327, 32.9,55.63556779,38.21726469,-86.91429499,67.49722753,1
-31.815, 1.4140000000000335, 32.9,59.60364364,38.17185811,-91.20703785,70.77912889,1
-31.815, 2.121000000000034, 32.9,64.64700087,38.00056877,-95.64433226,74.98851878,1
-31.815, 2.828000000000035, 32.9,68.35740575,38.98109188,-100.1586425,78.69091717,1
-31.108, -7.069999999999975, 32.9,30.65814743,33.95661378,-63.50227403,45.74902866,1
-31.108, -6.362999999999975, 32.9,27.75165375,35.24110416,-57.55955145,44.85632295,1
-31.108, -5.655999999999974, 32.9,26.11586826,35.88074839,-52.77283798,44.37867371,1
-31.108, -4.948999999999973, 32.9,25.02570732,37.13016289,-49.0895475,44.77650079,1
-31.108, -4.2419999999999725, 32.9,24.45184668,37.9292969,-46.52257703,45.12786688,1
-31.108, -3.5349999999999717, 32.9,25.22857895,38.66965177,-45.0658167,46.17167057,1
-31.108, -2.827999999999971, 32.9,26.99532422,39.59971841,-44.6117279,47.92583049,1
-31.108, -2.1209999999999702, 32.9,29.90651356,40.39116653,-44.98070334,50.25779429,1
-31.108, -1.4139999999999695, 32.9,33.97832784,41.32556435,-45.85924719,53.50073861,1
-31.108, -0.7069999999999688, 32.9,38.7239288,42.18232804,-46.91402034,57.26160547,1
-31.108, 3.197442310920451e-14, 32.9,43.99189883,42.70142879,-47.99244441,61.30823096,1
-31.108, 0.7070000000000327, 32.9,49.30363107,42.99899043,-49.08880402,65.41988394,1
-31.108, 1.4140000000000335, 32.9,54.24140652,42.88392826,-50.30402664,69.14594337,1
-31.108, 2.121000000000034, 32.9,58.81512538,42.59006722,-51.74827499,72.61633975,1
-31.108, 2.828000000000035, 32.9,62.73596586,42.34108854,-53.39359851,75.68731195,1
-31.108, 3.5350000000000357, 32.9,66.17554129,41.83551608,-55.18872429,78.29056566,1
-31.108, 4.242000000000036, 32.9,69.3526221,41.32166381,-57.1537652,80.72958623,1
-31.108, 4.949000000000037, 32.9,71.87917756,40.39179223,-59.38079953,82.45067038,1
-31.108, 5.656000000000038, 32.9,74.49958175,38.41708281,-62.1879526,83.82159586,1
-31.108, 6.363000000000039, 32.9,77.05381126,36.18044426,-66.18155099,85.12528636,1
-31.108, 7.070000000000039, 32.9,78.62859837,32.17620491,-72.29099666,84.95742842,1
-30.401, -9.897999999999978, 32.9,27.60572095,30.46551332,-48.69803823,41.11232578,1
-30.401, -9.190999999999978, 32.9,25.03507416,29.70350124,-42.7141255,38.8465304,1
-30.401, -8.483999999999977, 32.9,21.59720353,30.14890683,-38.13277769,37.0863288,1
-30.401, -7.776999999999976, 32.9,18.67715672,30.50728023,-34.71488847,35.7705232,1
-30.401, -7.069999999999975, 32.9,16.49115611,31.65242356,-32.21597936,35.6908132,1
-30.401, -6.362999999999975, 32.9,14.61293402,33.18637642,-30.46121606,36.26118339,1
-30.401, -5.655999999999974, 32.9,13.43945639,34.82270659,-29.32160965,37.32612868,1
-30.401, -4.948999999999973, 32.9,13.11285592,36.6443068,-28.64383768,38.91981772,1
-30.401, -4.2419999999999725, 32.9,13.7180327,38.50849641,-28.31736613,40.87895201,1
-30.401, -3.5349999999999717, 32.9,15.43459554,40.43555969,-28.19954967,43.28118791,1
-30.401, -2.827999999999971, 32.9,18.25872042,42.42604003,-28.07045352,46.18819918,1
-30.401, -2.1209999999999702, 32.9,22.11983169,44.35489828,-27.71967822,49.56454333,1
-30.401, -1.4139999999999695, 32.9,26.82874576,46.11170044,-26.92514147,53.34857558,1
-30.401, -0.7069999999999688, 32.9,32.02621701,47.43335804,-25.5680569,57.23287544,1
-30.401, 3.197442310920451e-14, 32.9,37.30843839,48.07293402,-23.80412996,60.85167673,1
-30.401, 0.7070000000000327, 32.9,42.25556698,47.99974809,-21.9682628,63.94926706,1
-30.401, 1.4140000000000335, 32.9,46.56895822,47.3411647,-20.43558736,66.40672967,1
-30.401, 2.121000000000034, 32.9,50.15848952,46.42371869,-19.44397869,68.34497587,1
-30.401, 2.828000000000035, 32.9,53.04871315,45.51386864,-18.95911863,69.89762661,1
-30.401, 3.5350000000000357, 32.9,55.38231469,44.6185406,-18.86495039,71.11972262,1
-30.401, 4.242000000000036, 32.9,57.30972086,43.67590008,-19.11216838,72.05545332,1
-30.401, 4.949000000000037, 32.9,58.94590613,42.44540036,-19.72443383,72.63767522,1
-30.401, 5.656000000000038, 32.9,60.53016784,40.62942357,-20.92728361,72.90165484,1
-30.401, 6.363000000000039, 32.9,62.19099565,38.0751708,-23.16708846,72.92076913,1
-30.401, 7.070000000000039, 32.9,64.12312565,34.43247138,-27.09922011,72.78303599,1
-30.401, 7.77700000000004, 32.9,66.79571269,29.84385563,-33.65490768,73.15957185,1
-30.401, 8.48400000000004, 32.9,69.84942549,24.83350598,-43.82431768,74.13261941,1
-30.401, 9.191000000000042, 32.9,73.43026967,18.98289372,-58.3558695,75.84427967,1
-30.401, 9.898000000000042, 32.9,78.57600604,14.1482367,-77.63623782,79.83959748,1
-29.694, -11.31199999999998, 32.9,22.32697229,29.25262157,-24.72338395,36.79958642,1
-29.694, -10.604999999999979, 32.9,17.98183787,27.86491978,-19.94515909,33.16323639,1
-29.694, -9.897999999999978, 32.9,13.63264468,26.80669131,-17.10461102,30.07403698,1
-29.694, -9.190999999999978, 32.9,10.16476894,26.5270986,-15.62057032,28.40791241,1
-29.694, -8.483999999999977, 32.9,7.260310053,27.10387304,-15.11388236,28.05943755,1
-29.694, -7.776999999999976, 32.9,5.000165507,28.26598016,-15.32348764,28.70483042,1
-29.694, -7.069999999999975, 32.9,3.505044435,30.00684847,-15.98075052,30.2108638,1
-29.694, -6.362999999999975, 32.9,2.765730614,32.18978787,-16.87975583,32.3083845,1
-29.694, -5.655999999999974, 32.9,2.864490327,34.68767048,-17.84859283,34.80574361,1
-29.694, -4.948999999999973, 32.9,3.880999337,37.42567486,-18.67397681,37.62636436,1
-29.694, -4.2419999999999725, 32.9,5.856119393,40.30804473,-19.16917685,40.73122395,1
-29.694, -3.5349999999999717, 32.9,8.792241843,43.2838965,-19.11319975,44.16785271,1
-29.694, -2.827999999999971, 32.9,12.59563204,46.22835858,-18.23736259,47.91357932,1
-29.694, -2.1209999999999702, 32.9,17.05828457,48.92484595,-16.35673281,51.81337302,1
-29.694, -1.4139999999999695, 32.9,21.85371666,51.11449254,-13.38794055,55.59025346,1
-29.694, -0.7069999999999688, 32.9,26.56946826,52.45175133,-9.473632814,58.79730318,1
-29.694, 3.197442310920451e-14, 32.9,30.80399018,52.70156969,-5.111820989,61.04376511,1
-29.694, 0.7070000000000327, 32.9,34.27240361,51.93187201,-0.960764258,62.2215154,1
-29.694, 1.4140000000000335, 32.9,36.87749282,50.47256195,2.414250094,62.50943118,1
-29.694, 2.121000000000034, 32.9,38.69317435,48.80828971,4.758150335,62.28491699,1
-29.694, 2.828000000000035, 32.9,39.8808776,47.28984037,6.197735321,61.86124312,1
-29.694, 3.5350000000000357, 32.9,40.62697794,45.96774671,6.964593911,61.34806496,1
-29.694, 4.242000000000036, 32.9,41.10907107,44.74704873,7.208693238,60.76392099,1
-29.694, 4.949000000000037, 32.9,41.50248083,43.42351504,7.000368726,60.06710892,1
-29.694, 5.656000000000038, 32.9,42.00857042,41.7329694,6.229864067,59.21453136,1
-29.694, 6.363000000000039, 32.9,42.84641928,39.47862109,4.62435539,58.26128361,1
-29.694, 7.070000000000039, 32.9,44.28492789,36.48888513,1.792943026,57.38112561,1
-29.694, 7.77700000000004, 32.9,46.60469361,32.75192815,-2.837592795,56.96214764,1
-29.694, 8.48400000000004, 32.9,49.94992128,28.45102099,-9.878105955,57.4843912,1
-29.694, 9.191000000000042, 32.9,54.44867961,23.8301885,-19.82235994,59.43514613,1
-29.694, 9.898000000000042, 32.9,59.96489842,19.4577372,-33.04173101,63.04278372,1
-29.694, 10.605000000000043, 32.9,65.75441806,15.4457206,-49.73218273,67.54416169,1
-29.694, 11.312000000000044, 32.9,72.14592981,11.37552024,-70.01248237,73.03723468,1
-28.987, -13.432999999999982, 32.9,23.70496709,34.48199027,-19.80891957,41.84415273,1
-28.987, -12.725999999999981, 32.9,18.35902067,30.80913053,-9.403247459,35.86441362,1
-28.987, -12.01899999999998, 32.9,12.26014526,27.49594154,-3.521448572,30.10544739,1
-28.987, -11.31199999999998, 32.9,7.187770703,24.88858229,-0.781109696,25.90570548,1
-28.987, -10.604999999999979, 32.9,2.933406188,23.56619121,-0.114019267,23.74805761,1
-28.987, -9.897999999999978, 32.9,-0.643905814,23.22107867,-0.823814952,23.23000451,1
-28.987, -9.190999999999978, 32.9,-3.396426798,23.73029071,-2.410264986,23.97211739,1
-28.987, -8.483999999999977, 32.9,-5.30900159,25.01648329,-4.530311976,25.57361793,1
-28.987, -7.776999999999976, 32.9,-6.365845808,26.98868291,-6.931821862,27.72928052,1
-28.987, -7.069999999999975, 32.9,-6.533588537,29.56249811,-9.336298161,30.27588271,1
-28.987, -6.362999999999975, 32.9,-5.803682505,32.59862831,-11.51244757,33.11122617,1
-28.987, -5.655999999999974, 32.9,-4.177120748,35.99407156,-13.24925413,36.23563888,1
-28.987, -4.948999999999973, 32.9,-1.679949469,39.63723312,-14.28397876,39.67281789,1
-28.987, -4.2419999999999725, 32.9,1.609651369,43.38688047,-14.38085739,43.4167292,1
-28.987, -3.5349999999999717, 32.9,5.536579273,47.11227285,-13.29469701,47.43648346,1
-28.987, -2.827999999999971, 32.9,9.842616489,50.57636206,-10.79635342,51.52519286,1
-28.987, -2.1209999999999702, 32.9,14.165982,53.45325822,-6.845686216,55.2985159,1
-28.987, -1.4139999999999695, 32.9,18.08803413,55.41268347,-1.624800045,58.29015756,1
-28.987, -0.7069999999999688, 32.9,21.23314706,56.13410633,4.382936631,60.01570151,1
-28.987, 3.197442310920451e-14, 32.9,23.38874159,55.52239005,10.37684037,60.24756451,1
-28.987, 0.7070000000000327, 32.9,24.56727037,53.84588237,15.55541943,59.18555416,1
-28.987, 1.4140000000000335, 32.9,24.95757369,51.60246975,19.39859887,57.32098541,1
-28.987, 2.121000000000034, 32.9,24.80696953,49.34848208,21.79982157,55.23276582,1
-28.987, 2.828000000000035, 32.9,24.33293112,47.43469575,23.03582301,53.31174259,1
-28.987, 3.5350000000000357, 32.9,23.70631947,45.89200539,23.45010623,51.65332266,1
-28.987, 4.242000000000036, 32.9,23.07231401,44.61192919,23.27641869,50.22505251,1
-28.987, 4.949000000000037, 32.9,22.57703375,43.40304722,22.66385377,48.92388947,1
-28.987, 5.656000000000038, 32.9,22.38772964,42.02675955,21.59941159,47.61784284,1
-28.987, 6.363000000000039, 32.9,22.70230029,40.31793616,19.94756731,46.27018927,1
-28.987, 7.070000000000039, 32.9,23.75091816,38.1446808,17.51328965,44.93465018,1
-28.987, 7.77700000000004, 32.9,25.76784343,35.45083844,13.97556181,43.82629007,1
-28.987, 8.48400000000004, 32.9,28.93962529,32.33366654,8.989352681,43.39317808,1
-28.987, 9.191000000000042, 32.9,33.36375403,28.94692275,2.265005904,44.17085486,1
-28.987, 9.898000000000042, 32.9,38.96890104,25.4851576,-6.480749492,46.56252255,1
-28.987, 10.605000000000043, 32.9,45.54254999,22.06544391,-17.46554764,50.60639954,1
-28.987, 11.312000000000044, 32.9,52.90509129,18.7503076,-30.90385592,56.12951736,1
-28.987, 12.019000000000045, 32.9,60.51464645,15.73810915,-47.11247457,62.52767799,1
-28.987, 12.726000000000045, 32.9,67.66852532,12.39995461,-66.43768912,68.79526287,1
-28.987, 13.433000000000046, 32.9,75.50194568,8.504446879,-89.2922571,75.97940128,1
-28.279999999999998, -14.846999999999984, 32.9,25.32909801,37.70841014,-17.73172181,45.42562494,1
-28.279999999999998, -14.139999999999983, 32.9,17.0529159,33.53539848,-3.347738655,37.62213301,1
-28.279999999999998, -13.432999999999982, 32.9,9.677306655,28.58834026,5.486315116,30.18183995,1
-28.279999999999998, -12.725999999999981, 32.9,3.431709011,24.78208876,10.00381827,25.01856411,1
-28.279999999999998, -12.01899999999998, 32.9,-2.037987394,22.12604796,11.36473895,22.21970727,1
-28.279999999999998, -11.31199999999998, 32.9,-6.524549783,20.55081312,10.58629392,21.56167132,1
-28.279999999999998, -10.604999999999979, 32.9,-10.00116225,20.07061844,8.446211292,22.4243834,1
-28.279999999999998, -9.897999999999978, 32.9,-12.52507257,20.58861866,5.459708738,24.09914233,1
-28.279999999999998, -9.190999999999978, 32.9,-14.09384274,22.0047358,2.032627791,26.13129926,1
-28.279999999999998, -8.483999999999977, 32.9,-14.69347499,24.20378806,-1.528099911,28.31468813,1
-28.279999999999998, -7.776999999999976, 32.9,-14.31376109,27.10858805,-4.968965936,30.65549384,1
-28.279999999999998, -7.069999999999975, 32.9,-12.95868602,30.61685256,-7.986709257,33.24634121,1
-28.279999999999998, -6.362999999999975, 32.9,-10.67035197,34.55881638,-10.31294541,36.16860795,1
-28.279999999999998, -5.655999999999974, 32.9,-7.545480302,38.79529869,-11.69812752,39.52226554,1
-28.279999999999998, -4.948999999999973, 32.9,-3.749981413,43.15722051,-11.85383072,43.31983429,1
-28.279999999999998, -4.2419999999999725, 32.9,0.466405968,47.42522304,-10.55512989,47.42751644,1
-28.279999999999998, -3.5349999999999717, 32.9,4.761757817,51.37294902,-7.640039497,51.59316068,1
-28.279999999999998, -2.827999999999971, 32.9,8.71577462,54.67234873,-3.071285397,55.36271708,1
-28.279999999999998, -2.1209999999999702, 32.9,11.88940572,56.95946354,2.885264113,58.1870987,1
-28.279999999999998, -1.4139999999999695, 32.9,13.9345874,57.97071018,9.688984376,59.62194197,1
-28.279999999999998, -0.7069999999999688, 32.9,14.71486585,57.57317434,16.57687878,59.4238814,1
-28.279999999999998, 3.197442310920451e-14, 32.9,14.36215343,55.91982146,22.68105778,57.73471991,1
-28.279999999999998, 0.7070000000000327, 32.9,13.21320254,53.46803183,27.36887642,55.07648454,1
-28.279999999999998, 1.4140000000000335, 32.9,11.65474545,50.7624758,30.39821481,52.08322226,1
-28.279999999999998, 2.121000000000034, 32.9,9.986469126,48.29394588,31.88619344,49.31566459,1
-28.279999999999998, 2.828000000000035, 32.9,8.384886604,46.32924112,32.22098261,47.08189574,1
-28.279999999999998, 3.5350000000000357, 32.9,6.946990112,44.85263239,31.78654811,45.38743553,1
-28.279999999999998, 4.242000000000036, 32.9,5.746179734,43.74785951,30.83885784,44.12361945,1
-28.279999999999998, 4.949000000000037, 32.9,4.867287601,42.84056856,29.55840121,43.11617797,1
-28.279999999999998, 5.656000000000038, 32.9,4.422258659,41.92112462,27.9848245,42.15373128,1
-28.279999999999998, 6.363000000000039, 32.9,4.554325753,40.85645624,26.06520647,41.10951106,1
-28.279999999999998, 7.070000000000039, 32.9,5.432557336,39.53602113,23.72318023,39.90751365,1
-28.279999999999998, 7.77700000000004, 32.9,7.232428326,37.88947539,20.7882643,38.57357081,1
-28.279999999999998, 8.48400000000004, 32.9,10.10414059,35.9589381,17.07557221,37.35155801,1
-28.279999999999998, 9.191000000000042, 32.9,14.13729986,33.79717223,12.43120473,36.63484814,1
-28.279999999999998, 9.898000000000042, 32.9,19.33343302,31.46278944,6.66118641,36.92815662,1
-28.279999999999998, 10.605000000000043, 32.9,25.61492966,29.01765924,-0.403500068,38.70593197,1
-28.279999999999998, 11.312000000000044, 32.9,32.83952664,26.4407373,-8.948672547,42.16096653,1
-28.279999999999998, 12.019000000000045, 32.9,40.76769601,23.66030598,-19.27187287,47.13613388,1
-28.279999999999998, 12.726000000000045, 32.9,49.18668763,20.50832202,-31.72194141,53.29091397,1
-28.279999999999998, 13.433000000000046, 32.9,57.9475492,16.99365898,-46.76840738,60.38793674,1
-28.279999999999998, 14.140000000000047, 32.9,66.14589085,13.20620609,-65.06194897,67.4513362,1
-28.279999999999998, 14.847000000000047, 32.9,73.21454523,7.531248432,-87.36713952,73.60087864,1
-27.572999999999997, -15.553999999999984, 32.9,18.80998115,35.44040926,-3.129882874,40.12278654,1
-27.572999999999997, -14.846999999999984, 32.9,10.92822078,30.11077008,8.734623067,32.0325535,1
-27.572999999999997, -14.139999999999983, 32.9,3.191058529,25.71624081,15.66771062,25.91346939,1
