x,y,z,Bx,By,Bz,Bp,faceid
-31.815, -2.827999999999971, 32.9,15.38234984,19.96786239,-58.37647972,25.20579725,1
-31.815, -2.1209999999999702, 32.9,13.2991267,17.30611712,-58.8346973,21.82586678,1
-31.815, -1.4139999999999695, 32.9,12.7099077,16.18766554,-61.45033375,20.58111439,1
-31.815, -0.7069999999999688, 32.9,11.2383765,15.4872811,-65.6420743,19.13522883,1
-31.815, 3.197442310920451e-14, 32.9,11.00815141,14.47350397,-70.8877309,18.1841061,1
-31.815, 0.7070000000000327, 32.9,11.01292897,15.1693333,-76.75732332,18.74548685,1
-31.815, 1.4140000000000335, 32.9,10.26408274,15.40272972,-82.96804562,18.50933487,1
-31.815, 2.121000000000034, 32.9,10.91906254,15.83123003,-89.39313535,19.23158264,1
-31.815, 2.828000000000035, 32.9,10.61283046,17.60600926,-95.94312131,20.55732796,1
-31.108, -7.069999999999975, 32.9,23.52921912,24.10261512,-51.89554379,33.68323333,1
-31.108, -6.362999999999975, 32.9,18.65251527,23.50067236,-44.93762446,30.00329861,1
-31.108, -5.655999999999974, 32.9,14.82701802,22.17221338,-39.25932091,26.67297339,1
-31.108, -4.948999999999973, 32.9,11.17163713,21.39352148,-34.86989832,24.13479309,1
-31.108, -4.2419999999999725, 32.9,7.558962464,20.08950617,-31.8637867,21.46453288,1
-31.108, -3.5349999999999717, 32.9,4.760807609,18.65808311,-30.34194638,19.25589142,1
-31.108, -2.827999999999971, 32.9,2.38302168,17.39859503,-30.3245293,17.56103361,1
-31.108, -2.1209999999999702, 32.9,0.588238157,16.09224882,-31.76163909,16.10299649,1
-31.108, -1.4139999999999695, 32.9,-0.534160957,15.19302689,-34.43502926,15.20241409,1
-31.108, -0.7069999999999688, 32.9,-1.311328303,14.69432082,-38.01915295,14.75271658,1
-31.108, 3.197442310920451e-14, 32.9,-1.648101136,14.52710157,-42.23437324,14.62029129,1
-31.108, 0.7070000000000327, 32.9,-1.732504079,14.87841046,-46.82127073,14.97894083,1
-31.108, 1.4140000000000335, 32.9,-1.732285555,15.44888654,-51.59840593,15.54570386,1
-31.108, 2.121000000000034, 32.9,-1.50401624,16.24081317,-56.49401214,16.31030586,1
-31.108, 2.828000000000035, 32.9,-1.328512041,17.2584679,-61.44538762,17.30952508,1
-31.108, 3.5350000000000357, 32.9,-1.101070563,18.08982566,-66.45696245,18.12330403,1
-31.108, 4.242000000000036, 32.9,-0.688589622,18.99266979,-71.61172842,19.00514829,1
