x,y,z,Bx,By,Bz,Bp,faceid
-31815,-2.827999999999971,32.9,57.74,57.74,57.74,100,1
-31815,-2.1209999999999702,32.9,57.74,57.74,57.74,100,1
-31815,-1.4139999999999695,32.9,57.74,57.74,57.74,100,1
-31815,-0.7069999999999688,32.9,57.74,57.74,57.74,100,1
-31815,3.197442310920451e-14,32.9,57.74,57.74,57.74,100,1
-31815,0.7070000000000327,32.9,57.74,57.74,57.74,100,1
-31815,1.4140000000000335,32.9,57.74,57.74,57.74,100,1
-31815,2.121000000000034,32.9,57.74,57.74,57.74,100,1
-31815,2.828000000000035,32.9,57.74,57.74,57.74,100,1
-31108,-7.069999999999975,32.9,57.74,57.74,57.74,100,1
-31108,-6.362999999999975,32.9,57.74,57.74,57.74,100,1
-31108,-5.655999999999974,32.9,57.74,57.74,57.74,100,1
-31108,-4.948999999999973,32.9,57.74,57.74,57.74,100,1
-31108,-4.2419999999999725,32.9,57.74,57.74,57.74,100,1
-31108,-3.5349999999999717,32.9,57.74,57.74,57.74,100,1
-31108,-2.827999999999971,32.9,57.74,57.74,57.74,100,1
-31108,-2.1209999999999702,32.9,57.74,57.74,57.74,100,1
-31108,-1.4139999999999695,32.9,57.74,57.74,57.74,100,1
-31108,-0.7069999999999688,32.9,57.74,57.74,57.74,100,1
-31108,3.197442310920451e-14,32.9,57.74,57.74,57.74,100,1
-31108,0.7070000000000327,32.9,57.74,57.74,57.74,100,1
-31108,1.4140000000000335,32.9,57.74,57.74,57.74,100,1
-31108,2.121000000000034,32.9,57.74,57.74,57.74,100,1
-31108,2.828000000000035,32.9,57.74,57.74,57.74,100,1
-31108,3.5350000000000357,32.9,57.74,57.74,57.74,100,1
-31108,4.242000000000036,32.9,57.74,57.74,57.74,100,1
-31108,4.949000000000037,32.9,57.74,57.74,57.74,100,1
-31108,5.656000000000038,32.9,57.74,57.74,57.74,100,1
-31108,6.363000000000039,32.9,57.74,57.74,57.74,100,1
-31108,7.070000000000039,32.9,57.74,57.74,57.74,100,1
-30401,-9.897999999999978,32.9,57.74,57.74,57.74,100,1
-30401,-9.190999999999978,32.9,57.74,57.74,57.74,100,1
-30401,-8.483999999999977,32.9,57.74,57.74,57.74,100,1
-30401,-7.776999999999976,32.9,57.74,57.74,57.74,100,1
-30401,-7.069999999999975,32.9,57.74,57.74,57.74,100,1
-30401,-6.362999999999975,32.9,57.74,57.74,57.74,100,1
-30401,-5.655999999999974,32.9,57.74,57.74,57.74,100,1
-30401,-4.948999999999973,32.9,57.74,57.74,57.74,100,1
-30401,-4.2419999999999725,32.9,57.74,57.74,57.74,100,1
-30401,-3.5349999999999717,32.9,57.74,57.74,57.74,100,1
-30401,-2.827999999999971,32.9,57.74,57.74,57.74,100,1
-30401,-2.1209999999999702,32.9,57.74,57.74,57.74,100,1
-30401,-1.4139999999999695,32.9,57.74,57.74,57.74,100,1
-30401,-0.7069999999999688,32.9,57.74,57.74,57.74,100,1
-30401,3.197442310920451e-14,32.9,57.74,57.74,57.74,100,1
-30401,0.7070000000000327,32.9,57.74,57.74,57.74,100,1
-30401,1.4140000000000335,32.9,57.74,57.74,57.74,100,1
-30401,2.121000000000034,32.9,57.74,57.74,57.74,100,1
-30401,2.828000000000035,32.9,57.74,57.74,57.74,100,1
-30401,3.5350000000000357,32.9,57.74,57.74,57.74,100,1
-30401,4.242000000000036,32.9,57.74,57.74,57.74,100,1
-30401,4.949000000000037,32.9,57.74,57.74,57.74,100,1
-30401,5.656000000000038,32.9,57.74,57.74,57.74,100,1
-30401,6.363000000000039,32.9,57.74,57.74,57.74,100,1
-30401,7.070000000000039,32.9,57.74,57.74,57.74,100,1
-30401,7.77700000000004,32.9,57.74,57.74,57.74,100,1
-30401,8.48400000000004,32.9,57.74,57.74,57.74,100,1
-30401,9.191000000000042,32.9,57.74,57.74,57.74,100,1
-30401,9.898000000000042,32.9,57.74,57.74,57.74,100,1
-29694,-11.31199999999998,32.9,57.74,57.74,57.74,100,1
-29694,-10.604999999999979,32.9,57.74,57.74,57.74,100,1
-29694,-9.897999999999978,32.9,57.74,57.74,57.74,100,1
-29694,-9.190999999999978,32.9,57.74,57.74,57.74,100,1
-29694,-8.483999999999977,32.9,57.74,57.74,57.74,100,1
-29694,-7.776999999999976,32.9,57.74,57.74,57.74,100,1
-29694,-7.069999999999975,32.9,57.74,57.74,57.74,100,1
-29694,-6.362999999999975,32.9,57.74,57.74,57.74,100,1
-29694,-5.655999999999974,32.9,57.74,57.74,57.74,100,1
-29694,-4.948999999999973,32.9,57.74,57.74,57.74,100,1
-29694,-4.2419999999999725,32.9,57.74,57.74,57.74,100,1
-29694,-3.5349999999999717,32.9,57.74,57.74,57.74,100,1
-29694,-2.827999999999971,32.9,57.74,57.74,57.74,100,1
-29694,-2.1209999999999702,32.9,57.74,57.74,57.74,100,1
-29694,-1.4139999999999695,32.9,57.74,57.74,57.74,100,1
-29694,-0.7069999999999688,32.9,57.74,57.74,57.74,100,1
-29694,3.197442310920451e-14,32.9,57.74,57.74,57.74,100,1
-29694,0.7070000000000327,32.9,57.74,57.74,57.74,100,1
-29694,1.4140000000000335,32.9,57.74,57.74,57.74,100,1
-29694,2.121000000000034,32.9,57.74,57.74,57.74,100,1
-29694,2.828000000000035,32.9,57.74,57.74,57.74,100,1
-29694,3.5350000000000357,32.9,57.74,57.74,57.74,100,1
-29694,4.242000000000036,32.9,57.74,57.74,57.74,100,1
-29694,4.949000000000037,32.9,57.74,57.74,57.74,100,1
-29694,5.656000000000038,32.9,57.74,57.74,57.74,100,1
-29694,6.363000000000039,32.9,57.74,57.74,57.74,100,1
-29694,7.070000000000039,32.9,57.74,57.74,57.74,100,1
-29694,7.77700000000004,32.9,57.74,57.74,57.74,100,1
-29694,8.48400000000004,32.9,57.74,57.74,57.74,100,1
-29694,9.191000000000042,32.9,57.74,57.74,57.74,100,1
-29694,9.898000000000042,32.9,57.74,57.74,57.74,100,1
-29694,10.605000000000043,32.9,57.74,57.74,57.74,100,1
-29694,11.312000000000044,32.9,57.74,57.74,57.74,100,1
-28987,-13.432999999999982,32.9,57.74,57.74,57.74,100,1
-28987,-12.725999999999981,32.9,57.74,57.74,57.74,100,1
-28987,-12.01899999999998,32.9,57.74,57.74,57.74,100,1
-28987,-11.31199999999998,32.9,57.74,57.74,57.74,100,1
-28987,-10.604999999999979,32.9,57.74,57.74,57.74,100,1
-28987,-9.897999999999978,32.9,57.74,57.74,57.74,100,1
-28987,-9.190999999999978,32.9,57.74,57.74,57.74,100,1
-28987,-8.483999999999977,32.9,57.74,57.74,57.74,100,1
-28987,-7.776999999999976,32.9,57.74,57.74,57.74,100,1
-28987,-7.069999999999975,32.9,57.74,57.74,57.74,100,1
-28987,-6.362999999999975,32.9,57.74,57.74,57.74,100,1
-28987,-5.655999999999974,32.9,57.74,57.74,57.74,100,1
-28987,-4.948999999999973,32.9,57.74,57.74,57.74,100,1
-28987,-4.2419999999999725,32.9,57.74,57.74,57.74,100,1
-28987,-3.5349999999999717,32.9,57.74,57.74,57.74,100,1
-28987,-2.827999999999971,32.9,57.74,57.74,57.74,100,1
-28987,-2.1209999999999702,32.9,57.74,57.74,57.74,100,1
-28987,-1.4139999999999695,32.9,57.74,57.74,57.74,100,1
-28987,-0.7069999999999688,32.9,57.74,57.74,57.74,100,1
-28987,3.197442310920451e-14,32.9,57.74,57.74,57.74,100,1
-28987,0.7070000000000327,32.9,57.74,57.74,57.74,100,1
-28987,1.4140000000000335,32.9,57.74,57.74,57.74,100,1
-28987,2.121000000000034,32.9,57.74,57.74,57.74,100,1
-28987,2.828000000000035,32.9,57.74,57.74,57.74,100,1
-28987,3.5350000000000357,32.9,57.74,57.74,57.74,100,1
-28987,4.242000000000036,32.9,57.74,57.74,57.74,100,1
-28987,4.949000000000037,32.9,57.74,57.74,57.74,100,1
-28987,5.656000000000038,32.9,57.74,57.74,57.74,100,1
-28987,6.363000000000039,32.9,57.74,57.74,57.74,100,1
-28987,7.070000000000039,32.9,57.74,57.74,57.74,100,1
-28987,7.77700000000004,32.9,57.74,57.74,57.74,100,1
-28987,8.48400000000004,32.9,57.74,57.74,57.74,100,1
-28987,9.191000000000042,32.9,57.74,57.74,57.74,100,1
-28987,9.898000000000042,32.9,57.74,57.74,57.74,100,1
-28987,10.605000000000043,32.9,57.74,57.74,57.74,100,1
-28987,11.312000000000044,32.9,57.74,57.74,57.74,100,1
-28987,12.019000000000045,32.9,57.74,57.74,57.74,100,1
-28987,12.726000000000045,32.9,57.74,57.74,57.74,100,1
-28987,13.433000000000046,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-14.846999999999984,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-14.139999999999983,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-13.432999999999982,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-12.725999999999981,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-12.01899999999998,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-11.31199999999998,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-10.604999999999979,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-9.897999999999978,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-9.190999999999978,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-8.483999999999977,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-7.776999999999976,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-7.069999999999975,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-6.362999999999975,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-5.655999999999974,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-4.948999999999973,32.9,57.74,57.74,57.74,100,1
-28.279999999999998,-4.2419999999999725,32.9,57.74,57.74,57.74,100,1
