x,y,z,Bx,By,By,Bp,faceid
-31.815,-2.82799999999997,-32.9,50,0,0,-366,3
-31.815,-2.12099999999997,-32.9,50,0,0,-366,3
-31.815,-1.41399999999997,-32.9,50,0,0,-366,3
-31.815,-0.706999999999969,-32.9,50,0,0,-366,3
-31.815,3.19744231092045E-14,-32.9,50,0,0,-366,3
-31.815,0.707000000000033,-32.9,50,0,0,-366,3
-31.815,1.41400000000003,-32.9,50,0,0,-366,3
-31.815,2.12100000000003,-32.9,50,0,0,-366,3
-31.815,2.82800000000003,-32.9,50,0,0,-366,3
-31.108,-7.06999999999998,-32.9,50,0,0,-366,3
-31.108,-6.36299999999998,-32.9,50,0,0,-366,3
-31.108,-5.65599999999997,-32.9,50,0,0,-366,3
-31.108,-4.94899999999997,-32.9,50,0,0,-366,3
-31.108,-4.24199999999997,-32.9,50,0,0,-366,3
-31.108,-3.53499999999997,-32.9,50,0,0,-366,3
-31.108,-2.82799999999997,-32.9,50,0,0,-366,3
-31.108,-2.12099999999997,-32.9,50,0,0,-366,3
-31.108,-1.41399999999997,-32.9,50,0,0,-366,3
-31.108,-0.706999999999969,-32.9,50,0,0,-366,3
-31.108,3.19744231092045E-14,-32.9,50,0,0,-366,3
-31.108,0.707000000000033,-32.9,50,0,0,-366,3
-31.108,1.41400000000003,-32.9,50,0,0,-366,3
-31.108,2.12100000000003,-32.9,50,0,0,-366,3
-31.108,2.82800000000003,-32.9,50,0,0,-366,3
-31.108,3.53500000000004,-32.9,50,0,0,-366,3
-31.108,4.24200000000004,-32.9,50,0,0,-366,3
-31.108,4.94900000000004,-32.9,50,0,0,-366,3
-31.108,5.65600000000004,-32.9,50,0,0,-366,3
-31.108,6.36300000000004,-32.9,50,0,0,-366,3
-31.108,7.07000000000004,-32.9,50,0,0,-366,3
-30.401,-9.89799999999998,-32.9,50,0,0,-366,3
-30.401,-9.19099999999998,-32.9,50,0,0,-366,3
-30.401,-8.48399999999998,-32.9,50,0,0,-366,3
-30.401,-7.77699999999998,-32.9,50,0,0,-366,3
-30.401,-7.06999999999998,-32.9,50,0,0,-366,3
-30.401,-6.36299999999998,-32.9,50,0,0,-366,3
-30.401,-5.65599999999997,-32.9,50,0,0,-366,3
-30.401,-4.94899999999997,-32.9,50,0,0,-366,3
-30.401,-4.24199999999997,-32.9,50,0,0,-366,3
-30.401,-3.53499999999997,-32.9,50,0,0,-366,3
-30.401,-2.82799999999997,-32.9,50,0,0,-366,3
-30.401,-2.12099999999997,-32.9,50,0,0,-366,3
-30.401,-1.41399999999997,-32.9,50,0,0,-366,3
-30.401,-0.706999999999969,-32.9,50,0,0,-366,3
-30.401,3.19744231092045E-14,-32.9,50,0,0,-366,3
-30.401,0.707000000000033,-32.9,50,0,0,-366,3
-30.401,1.41400000000003,-32.9,50,0,0,-366,3
-30.401,2.12100000000003,-32.9,50,0,0,-366,3
-30.401,2.82800000000003,-32.9,50,0,0,-366,3
-30.401,3.53500000000004,-32.9,50,0,0,-366,3
-30.401,4.24200000000004,-32.9,50,0,0,-366,3
-30.401,4.94900000000004,-32.9,50,0,0,-366,3
-30.401,5.65600000000004,-32.9,50,0,0,-366,3
-30.401,6.36300000000004,-32.9,50,0,0,-366,3
-30.401,7.07000000000004,-32.9,50,0,0,-366,3
-30.401,7.77700000000004,-32.9,50,0,0,-366,3
-30.401,8.48400000000004,-32.9,50,0,0,-366,3
-30.401,9.19100000000004,-32.9,50,0,0,-366,3
-30.401,9.89800000000004,-32.9,50,0,0,-366,3
-29.694,-11.312,-32.9,50,0,0,-366,3
-29.694,-10.605,-32.9,50,0,0,-366,3
-29.694,-9.89799999999998,-32.9,50,0,0,-366,3
-29.694,-9.19099999999998,-32.9,50,0,0,-366,3
-29.694,-8.48399999999998,-32.9,50,0,0,-366,3
-29.694,-7.77699999999998,-32.9,50,0,0,-366,3
-29.694,-7.06999999999998,-32.9,50,0,0,-366,3
-29.694,-6.36299999999998,-32.9,50,0,0,-366,3
-29.694,-5.65599999999997,-32.9,50,0,0,-366,3
-29.694,-4.94899999999997,-32.9,50,0,0,-366,3
-29.694,-4.24199999999997,-32.9,50,0,0,-366,3
-29.694,-3.53499999999997,-32.9,50,0,0,-366,3
-29.694,-2.82799999999997,-32.9,50,0,0,-366,3
-29.694,-2.12099999999997,-32.9,50,0,0,-366,3
-29.694,-1.41399999999997,-32.9,50,0,0,-366,3
-29.694,-0.706999999999969,-32.9,50,0,0,-366,3
-29.694,3.19744231092045E-14,-32.9,50,0,0,-366,3
-29.694,0.707000000000033,-32.9,50,0,0,-366,3
-29.694,1.41400000000003,-32.9,50,0,0,-366,3
-29.694,2.12100000000003,-32.9,50,0,0,-366,3
-29.694,2.82800000000003,-32.9,50,0,0,-366,3
-29.694,3.53500000000004,-32.9,50,0,0,-366,3
-29.694,4.24200000000004,-32.9,50,0,0,-366,3
-29.694,4.94900000000004,-32.9,50,0,0,-366,3
-29.694,5.65600000000004,-32.9,50,0,0,-366,3
-29.694,6.36300000000004,-32.9,50,0,0,-366,3
-29.694,7.07000000000004,-32.9,50,0,0,-366,3
-29.694,7.77700000000004,-32.9,50,0,0,-366,3
-29.694,8.48400000000004,-32.9,50,0,0,-366,3
-29.694,9.19100000000004,-32.9,50,0,0,-366,3
-29.694,9.89800000000004,-32.9,50,0,0,-366,3
-29.694,10.605,-32.9,50,0,0,-366,3
-29.694,11.312,-32.9,50,0,0,-366,3
-28.987,-13.433,-32.9,50,0,0,-366,3
-28.987,-12.726,-32.9,50,0,0,-366,3
-28.987,-12.019,-32.9,50,0,0,-366,3
-28.987,-11.312,-32.9,50,0,0,-366,3
-28.987,-10.605,-32.9,50,0,0,-366,3
-28.987,-9.89799999999998,-32.9,50,0,0,-366,3
-28.987,-9.19099999999998,-32.9,50,0,0,-366,3
-28.987,-8.48399999999998,-32.9,50,0,0,-366,3
-28.987,-7.77699999999998,-32.9,50,0,0,-366,3
-28.987,-7.06999999999998,-32.9,50,0,0,-366,3
-28.987,-6.36299999999998,-32.9,50,0,0,-366,3
-28.987,-5.65599999999997,-32.9,50,0,0,-366,3
-28.987,-4.94899999999997,-32.9,50,0,0,-366,3
-28.987,-4.24199999999997,-32.9,50,0,0,-366,3
-28.987,-3.53499999999997,-32.9,50,0,0,-366,3
-28.987,-2.82799999999997,-32.9,50,0,0,-366,3
-28.987,-2.12099999999997,-32.9,50,0,0,-366,3
-28.987,-1.41399999999997,-32.9,50,0,0,-366,3
-28.987,-0.706999999999969,-32.9,50,0,0,-366,3
-28.987,3.19744231092045E-14,-32.9,50,0,0,-366,3
-28.987,0.707000000000033,-32.9,50,0,0,-366,3
-28.987,1.41400000000003,-32.9,50,0,0,-366,3
-28.987,2.12100000000003,-32.9,50,0,0,-366,3
-28.987,2.82800000000003,-32.9,50,0,0,-366,3
-28.987,3.53500000000004,-32.9,50,0,0,-366,3
-28.987,4.24200000000004,-32.9,50,0,0,-366,3
-28.987,4.94900000000004,-32.9,50,0,0,-366,3
-28.987,5.65600000000004,-32.9,50,0,0,-366,3
-28.987,6.36300000000004,-32.9,50,0,0,-366,3
-28.987,7.07000000000004,-32.9,50,0,0,-366,3
-28.987,7.77700000000004,-32.9,50,0,0,-366,3
-28.987,8.48400000000004,-32.9,50,0,0,-366,3
-28.987,9.19100000000004,-32.9,50,0,0,-366,3
-28.987,9.89800000000004,-32.9,50,0,0,-366,3
-28.987,10.605,-32.9,50,0,0,-366,3
-28.987,11.312,-32.9,50,0,0,-366,3
-28.987,12.019,-32.9,50,0,0,-366,3
-28.987,12.726,-32.9,50,0,0,-366,3
-28.987,13.433,-32.9,50,0,0,-366,3
-28.28,-14.847,-32.9,50,0,0,-366,3
-28.28,-14.14,-32.9,50,0,0,-366,3
-28.28,-13.433,-32.9,50,0,0,-366,3
-28.28,-12.726,-32.9,50,0,0,-366,3
-28.28,-12.019,-32.9,50,0,0,-366,3
-28.28,-11.312,-32.9,50,0,0,-366,3
-28.28,-10.605,-32.9,50,0,0,-366,3
-28.28,-9.89799999999998,-32.9,50,0,0,-366,3
-28.28,-9.19099999999998,-32.9,50,0,0,-366,3
-28.28,-8.48399999999998,-32.9,50,0,0,-366,3
-28.28,-7.77699999999998,-32.9,50,0,0,-366,3
-28.28,-7.06999999999998,-32.9,50,0,0,-366,3
-28.28,-6.36299999999998,-32.9,50,0,0,-366,3
-28.28,-5.65599999999997,-32.9,50,0,0,-366,3
-28.28,-4.94899999999997,-32.9,50,0,0,-366,3
-28.28,-4.24199999999997,-32.9,50,0,0,-366,3
-28.28,-3.53499999999997,-32.9,50,0,0,-366,3
-28.28,-2.82799999999997,-32.9,50,0,0,-366,3
-28.28,-2.12099999999997,-32.9,50,0,0,-366,3
-28.28,-1.41399999999997,-32.9,50,0,0,-366,3
-28.28,-0.706999999999969,-32.9,50,0,0,-366,3
-28.28,3.19744231092045E-14,-32.9,50,0,0,-366,3
-28.28,0.707000000000033,-32.9,50,0,0,-366,3
-28.28,1.41400000000003,-32.9,50,0,0,-366,3
-28.28,2.12100000000003,-32.9,50,0,0,-366,3
-28.28,2.82800000000003,-32.9,50,0,0,-366,3
-28.28,3.53500000000004,-32.9,50,0,0,-366,3
-28.28,4.24200000000004,-32.9,50,0,0,-366,3
-28.28,4.94900000000004,-32.9,50,0,0,-366,3
-28.28,5.65600000000004,-32.9,50,0,0,-366,3
-28.28,6.36300000000004,-32.9,50,0,0,-366,3
-28.28,7.07000000000004,-32.9,50,0,0,-366,3
-28.28,7.77700000000004,-32.9,50,0,0,-366,3
-28.28,8.48400000000004,-32.9,50,0,0,-366,3
-28.28,9.19100000000004,-32.9,50,0,0,-366,3
-28.28,9.89800000000004,-32.9,50,0,0,-366,3
-28.28,10.605,-32.9,50,0,0,-366,3
-28.28,11.312,-32.9,50,0,0,-366,3
-28.28,12.019,-32.9,50,0,0,-366,3
-28.28,12.726,-32.9,50,0,0,-366,3
-28.28,13.433,-32.9,50,0,0,-366,3
-28.28,14.14,-32.9,50,0,0,-366,3
-28.28,14.847,-32.9,50,0,0,-366,3
-27.573,-15.554,-32.9,50,0,0,-366,3
-27.573,-14.847,-32.9,50,0,0,-366,3
-27.573,-14.14,-32.9,50,0,0,-366,3
-27.573,-13.433,-32.9,50,0,0,-366,3
-27.573,-12.726,-32.9,50,0,0,-366,3
-27.573,-12.019,-32.9,50,0,0,-366,3
-27.573,-11.312,-32.9,50,0,0,-366,3
-27.573,-10.605,-32.9,50,0,0,-366,3
-27.573,-9.89799999999998,-32.9,50,0,0,-366,3
-27.573,-9.19099999999998,-32.9,50,0,0,-366,3
-27.573,-8.48399999999998,-32.9,50,0,0,-366,3
-27.573,-7.77699999999998,-32.9,50,0,0,-366,3
-27.573,-7.06999999999998,-32.9,50,0,0,-366,3
-27.573,-6.36299999999998,-32.9,50,0,0,-366,3
-27.573,-5.65599999999997,-32.9,50,0,0,-366,3
-27.573,-4.94899999999997,-32.9,50,0,0,-366,3
-27.573,-4.24199999999997,-32.9,50,0,0,-366,3
-27.573,-3.53499999999997,-32.9,50,0,0,-366,3
-27.573,-2.82799999999997,-32.9,50,0,0,-366,3
-27.573,-2.12099999999997,-32.9,50,0,0,-366,3
-27.573,-1.41399999999997,-32.9,50,0,0,-366,3
-27.573,-0.706999999999969,-32.9,50,0,0,-366,3
-27.573,3.19744231092045E-14,-32.9,50,0,0,-366,3
-27.573,0.707000000000033,-32.9,50,0,0,-366,3
-27.573,1.41400000000003,-32.9,50,0,0,-366,3
-27.573,2.12100000000003,-32.9,50,0,0,-366,3
-27.573,2.82800000000003,-32.9,50,0,0,-366,3
-27.573,3.53500000000004,-32.9,50,0,0,-366,3
-27.573,4.24200000000004,-32.9,50,0,0,-366,3
-27.573,4.94900000000004,-32.9,50,0,0,-366,3
-27.573,5.65600000000004,-32.9,50,0,0,-366,3
-27.573,6.36300000000004,-32.9,50,0,0,-366,3
-27.573,7.07000000000004,-32.9,50,0,0,-366,3
-27.573,7.77700000000004,-32.9,50,0,0,-366,3
