x,y,z,Bx,By,Bz,Bp,faceid
-31.815,-2.827999999999971,32.9,-10.32634400745661,-84.84453673460513,-10.317185708852492,85.47063117978067,1
-31.815,-2.1209999999999702,32.9,-12.169458986335906,-86.29450380979785,-13.039265434546053,87.14836269144318,1
-31.815,-1.4139999999999695,32.9,-13.12066209581105,-86.15027019406784,-17.08086947469002,87.14367922198,1
-31.815,-0.7069999999999688,32.9,-15.968830195512794,-85.96039850430634,-22.050285317271175,87.43107942163515,1
-31.815,3.197442310920451e-14,32.9,-17.541071238071602,-86.61957646375055,-27.6322066562887,88.37782644384637,1
-31.815,0.7070000000000327,32.9,-19.059448704062603,-85.2628893173777,-33.53804671779261,87.36717278045681,1
-31.815,1.4140000000000335,32.9,-21.796887974744262,-84.74346852248647,-39.572964845449974,87.50177016840978,1
-31.815,2.121000000000034,32.9,-22.786143483580723,-84.07959396748947,-45.67359403027581,87.11249311431868,1
-31.815,2.828000000000035,32.9,-25.23168065230087,-81.62715097767398,-51.77092755970716,85.4378691522189,1
-30.401,-9.897999999999978,32.9,-1.1808621683623781,-85.96581669770154,22.111021525931505,85.97392672178869,1
-30.401,-9.190999999999978,32.9,-0.5284832523127861,-86.67320675792223,23.309243039107002,86.6748179360621,1
-30.401,-8.483999999999977,32.9,-2.421968155683575,-86.43956249849441,23.668223426696898,86.4734866573464,1
-30.401,-7.776999999999976,32.9,-4.809126091459744,-87.04617987971068,23.357657542247807,87.17892592487307,1
-30.401,-7.069999999999975,32.9,-7.192715635402914,-87.24890933830432,22.533720802010976,87.54488756595336,1
-30.401,-6.362999999999975,32.9,-10.043671522869472,-87.40292297658436,21.259420256722365,87.9781011531281,1
-30.401,-5.655999999999974,32.9,-12.85906214386663,-87.71314596080805,19.549448218332486,88.65072731547012,1
-30.401,-4.948999999999973,32.9,-15.548868955983004,-87.96231771273744,17.452924349330658,89.32601336232854,1
-30.401,-4.2419999999999725,32.9,-18.100912310352026,-88.29308211944027,14.939666536220102,90.12941460265498,1
-30.401,-3.5349999999999717,32.9,-20.341634149583406,-88.63105400701295,11.984205126238521,90.93539362794634,1
-30.401,-2.827999999999971,32.9,-22.278264302400842,-88.88989943013621,8.622072675953461,91.63915801134009,1
-30.401,-2.1209999999999702,32.9,-23.89243066854063,-89.07076141493093,4.856497939289056,92.21956832628621,1
-30.401,-1.4139999999999695,32.9,-25.172990304852334,-89.03810669359126,0.7663931132356083,92.52817886712961,1
-30.401,-0.7069999999999688,32.9,-26.18599273617948,-88.77224152566998,-3.516844758657328,92.55386043310743,1
-30.401,3.197442310920451e-14,32.9,-26.959420823200567,-88.2721123743998,-7.9233622785639,92.29721661112585,1
-30.401,0.7070000000000327,32.9,-27.56050863975456,-87.49025852943925,-12.346477867931412,91.72855048473241,1
-30.401,1.4140000000000335,32.9,-28.051345136580665,-86.52185360711593,-16.70575434982618,90.95553372710629,1
-30.401,2.121000000000034,32.9,-28.449489588221166,-85.39919413643429,-21.001177809353067,90.01330911027934,1
-30.401,2.828000000000035,32.9,-28.81495905423693,-84.15289425180703,-25.19167104868535,88.94948834171655,1
-30.401,3.5350000000000357,32.9,-29.14054844807051,-82.91885467692816,-29.283699027137743,87.89031815159093,1
-30.401,4.242000000000036,32.9,-29.423741343869676,-81.70010969772505,-33.34437773785794,86.83699948346472,1
-30.401,4.949000000000037,32.9,-29.703038694148663,-80.60263810608814,-37.41002037525675,85.90143058952572,1
-30.401,5.656000000000038,32.9,-29.85570646217041,-79.73746703233428,-41.6180136247126,85.14356615204628,1
-30.401,6.363000000000039,32.9,-29.949739585859486,-78.99480838996277,-46.19554722329036,84.48175337803858,1
-30.401,7.070000000000039,32.9,-30.04148189303844,-78.57503290097327,-51.4087884078466,84.12209239978989,1
-30.401,7.77700000000004,32.9,-29.921777189308163,-78.16104504300444,-57.67912061540693,83.69266223738596,1
-30.401,8.48400000000004,32.9,-30.595162874675466,-77.18995678282795,-65.46138419177021,83.03224325202088,1
-30.401,9.191000000000042,32.9,-32.37145523254509,-76.62812635582702,-75.14188176097326,83.1852202177602,1
-30.401,9.898000000000042,32.9,-34.307019231275305,-74.30401851878872,-87.12446074465771,81.84166870595682,1
-28.987,-13.432999999999982,32.9,7.794908582345178,-81.55316905917147,49.08618571268909,81.92484350550156,1
-28.987,-12.725999999999981,32.9,6.458845978287897,-82.68076831019283,52.405407220218706,82.93266027166277,1
-28.987,-12.01899999999998,32.9,2.2143551188131427,-85.11378656908465,52.884216308744385,85.14258648126629,1
-28.987,-11.31199999999998,32.9,-1.8166657273383657,-87.86646091885564,51.45213181403324,87.88523896974776,1
-28.987,-10.604999999999979,32.9,-5.658618098797717,-89.84339873415928,48.818747321321325,90.02142108905622,1
-28.987,-9.897999999999978,32.9,-9.434883116525263,-91.28496433603402,45.4258154394542,91.77124676745706,1
-28.987,-9.190999999999978,32.9,-12.953858720031961,-92.26406015910692,41.60905819742669,93.16898224614161,1
-28.987,-8.483999999999977,32.9,-16.230656956650552,-92.84723487239415,37.566041400582606,94.25520276724248,1
-28.987,-7.776999999999976,32.9,-19.277657351764574,-93.13641240425113,33.38316310580717,95.11056402159954,1
-28.987,-7.069999999999975,32.9,-22.069715003210653,-93.19616131590175,29.169899666678873,95.77367490256664,1
-28.987,-6.362999999999975,32.9,-24.601622284629595,-93.12334470405364,24.96413429848667,96.31820776938063,1
-28.987,-5.655999999999974,32.9,-26.864402479352147,-92.94689610865055,20.769261863221686,96.75133909566782,1
-28.987,-4.948999999999973,32.9,-28.85096483351208,-92.70583276914368,16.634325445802745,97.09144968144716,1
-28.987,-4.2419999999999725,32.9,-30.565581950947628,-92.45725678404426,12.53594350824875,97.37863796557637,1
-28.987,-3.5349999999999717,32.9,-32.02269056174666,-92.17360003407794,8.45241941263123,97.57779078281877,1
-28.987,-2.827999999999971,32.9,-33.25045438984817,-91.85357111756377,4.405886276593947,97.6865970549733,1
-28.987,-2.1209999999999702,32.9,-34.28646439040281,-91.48436317993696,0.357443385929173,97.69826173905534,1
-28.987,-1.4139999999999695,32.9,-35.16959584393829,-90.98437602271378,-3.683415892509913,97.54515442639135,1
-28.987,-0.7069999999999688,32.9,-35.933880449572825,-90.3392143157979,-7.666585470217285,97.22354348284091,1
-28.987,3.197442310920451e-14,32.9,-36.605081577745494,-89.53460004374551,-11.596918034834403,96.72836503480701,1
-28.987,0.7070000000000327,32.9,-37.20262425747584,-88.53852759632434,-15.424773969123862,96.03700391290857,1
-28.987,1.4140000000000335,32.9,-37.741748901099356,-87.40736484582732,-19.10743495350232,95.2075996935392,1
-28.987,2.121000000000034,32.9,-38.23452227150001,-86.17030107163959,-22.666662002786666,94.27194428941647,1
-28.987,2.828000000000035,32.9,-38.69010131794119,-84.84637711179488,-26.071005997090197,93.2514431469533,1
-28.987,3.5350000000000357,32.9,-39.11240469745896,-83.52062411917143,-29.326157122798918,92.22513136056641,1
-28.987,4.242000000000036,32.9,-39.49828771190358,-82.21982444386151,-32.485779053664544,91.21520851125497,1
-28.987,4.949000000000037,32.9,-39.833063813753924,-80.97586565762788,-35.55244487317384,90.24280465384922,1
-28.987,5.656000000000038,32.9,-40.085590989316124,-79.86128065774597,-38.59538287495826,89.35702968014331,1
-28.987,6.363000000000039,32.9,-40.2086034622545,-78.8704866587056,-41.71975865446376,88.52844434511364,1
-28.987,7.070000000000039,32.9,-40.13817914339377,-78.01337940580868,-45.000694088695354,87.73346448910942,1
-28.987,7.77700000000004,32.9,-39.81362460451779,-77.30026817407423,-48.605189987544236,86.95088362939883,1
-28.987,8.48400000000004,32.9,-39.20302445819577,-76.66096156642925,-52.711569607464185,86.10331094074976,1
-28.987,9.191000000000042,32.9,-38.30349138554631,-76.04576552408321,-57.47149237295736,85.14761245311851,1
-28.987,9.898000000000042,32.9,-37.22322318294561,-75.35588546035945,-63.112143432771404,84.04806849441688,1
-28.987,10.605000000000043,32.9,-36.17562614553679,-74.50559951603816,-69.82727412815473,82.823669843022,1
-28.987,11.312000000000044,32.9,-35.31705068523545,-73.33951277858978,-77.7963329514759,81.40011181628944,1
-28.987,12.019000000000045,32.9,-35.36968402119194,-71.3680338519174,-87.27662744493347,79.6518097951791,1
-28.987,12.726000000000045,32.9,-37.43718950602197,-69.07939128944537,-98.50219738911579,78.57165811557054,1
-28.987,13.433000000000046,32.9,-40.3987884752587,-66.25705664324789,-111.81164260511679,77.60193080906721,1
-27.572999999999997,-15.553999999999984,32.9,7.695135476871342,-78.97859135178993,63.026213711172886,79.35258661140436,1
-27.572999999999997,-14.846999999999984,32.9,4.768602613585782,-81.93430990837146,66.84083104988179,82.0729596825127,1
-27.572999999999997,-14.139999999999983,32.9,0.02285034902069833,-85.02512518232902,67.58629049602075,85.025128252824,1
-27.572999999999997,-13.432999999999982,32.9,-5.089119337242654,-88.34617994738079,65.98026681862405,88.4926361169317,1
-27.572999999999997,-12.725999999999981,32.9,-9.759451969474812,-91.32095898033435,62.70123237863493,91.84097370908258,1
-27.572999999999997,-12.01899999999998,32.9,-13.86094847468327,-93.7101051620341,58.279363470365865,94.72966643083525,1
-27.572999999999997,-11.31199999999998,32.9,-17.365189210633186,-95.47897883328375,53.18526062999558,97.04527394658504,1
-27.572999999999997,-10.604999999999979,32.9,-20.312775417781356,-96.69681737902948,47.77327245405098,98.8073040640549,1
-27.572999999999997,-9.897999999999978,32.9,-22.796710719789733,-97.43116134141371,42.23446873048181,100.06258651453282,1
-27.572999999999997,-9.190999999999978,32.9,-24.90306463857339,-97.74267486368689,36.742560283173475,100.86522253929435,1
-27.572999999999997,-8.483999999999977,32.9,-26.696863674697685,-97.74740808827931,31.395543276874605,101.32757925679468,1
-27.572999999999997,-7.776999999999976,32.9,-28.223753973398853,-97.49679782195,26.2189502628936,101.49978262974331,1
-27.572999999999997,-7.069999999999975,32.9,-29.51374660394344,-97.03928489440335,21.283509461684446,101.42822117842233,1
-27.572999999999997,-6.362999999999975,32.9,-30.58853444902424,-96.47054254228277,16.600226220174648,101.20387353328692,1
